dep;c;lat;long
Canelones;Canelones;-34,5229183;-56,28541427
Canelones;Santa Rosa;-34,49810476;-56,04012325
Canelones;San Bautista;-34,4398679;-55,95965836
Canelones;Pando;-34,71830033;-55,96447783
Canelones;Empalme Olmos;-34,69245432;-55,89991243
Canelones;San Antonio;-34,45179936;-56,08201779
Canelones;San Ramon;-34,29093363;-55,95645606
Canelones;Sauce;-34,64883349;-56,06342277
Canelones;Toledo;-34,73585151;-56,08859043
Canelones;Joaquin Suarez;-34,73597455;-56,0348115
Canelones;Santa Lucia;-34,46225544;-56,3880296
Canelones;Aguas Corrientes;-34,52179371;-56,39402493
Canelones;Progreso;-34,6636504;-56,22693999
Canelones;La Paz;-34,7583811;-56,22886136
Canelones;Las Piedras;-34,72439806;-56,215078
Canelones;Ciudad de la costa;-34,82421501;-55,96454159
Canelones;Atlantida;-34,77100118;-55,75727778
Canelones;Parque del Plata;-34,75207947;-55,71477059
Canelones;La Floresta;-34,75238899;-55,68508268
Canelones;Soca;-34,68220486;-55,70926595
Canelones;San jacinto;-34,5454953;-55,87123763
Canelones;Migues;-34,48642201;-55,62996822
Canelones;Montes;-34,49307923;-55,56129742
Canelones;Tala;-34,34397558;-55,76133965
Canelones;San Ramon;-34,29050816;-55,95671355
Canelones;Salinas;-34,77271728;-55,8417467
Canelones;Barros blancos;-34,75536009;-55,99764381
Canelones;Pando;-34,71808868;-55,95726814
Canelones;Empalme Olmos;-34,69164144;-55,89798146
Canelones;Nicolich;-34,81652426;-56,0171258
Canelones;18_de_mayo;-34,6996455;-56,21621326
Canelones;Paso Carrasco;-34,85708683;-56,04215217
San Jose;Ciudad Del Plata;-34,75717908;-56,42189975
San Jose;Libertad;-34,63703156;-56,61923748
San Jose;Puntas de Valdez;-34,58685283;-56,69949372
San Jose;Rafael Perazza;-34,52521728;-56,80062963
San Jose;San Jose De Mayo;-34,3387681;-56,71254951
San Jose;Rodriguez;-34,38087934;-56,53932748
Maldonado;Maldonado ;-34,908;-54,957
Maldonado;Solis;-34,791;-55,382
Maldonado;Piriapolis ;-34,865;-55,275
Maldonado;Punta del Este ;-34,936;-54,935
Maldonado;Pan de Azucar ;-34,777;-55,226
Maldonado;La Capuera;-34,856;-55,13
Maldonado;San Carlos;-34,788;-54,92
Maldonado;Cuchilla Alta;-34,794;-55,493
Lavalleja;Minas ;-34,375;-55,236
Lavalleja;Solis de Mataojo ;-34,598;-55,466
Florida;Florida;-34,092;-56,216
Florida;Sarandi grande;-33,724;-56,331
Florida;Casupa;-34,101;-55,65
Florida;Fray Marcos;-34,195;-55,738
Florida;25_de_mayo;-34,196;-56,339
Florida;25_de_agosto;-34,412;-56,404
Florida;Alejandro Gallinal;-33,862;-55,545
Florida;Cardal;-34,291;-56,393
Florida;Mendoza chico;-34,241;-56,217
Canelones;Los Cerrillos;-34,60768069;-56,36294329
Montevideo;afe;-34,89527939;-56,19446142
